@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
212,459,92,55,120,0.314286,0.833031,0.892996,0.833031,0.107004,0.861972,0.707989,1.176616,0.766074
213,459,92,54,121,0.308571,0.833031,0.894737,0.833031,0.105263,0.862782,0.706612,1.178909,0.770004
214,458,93,54,121,0.308571,0.831216,0.894531,0.831216,0.105469,0.861712,0.705234,1.178638,0.78119
215,457,94,54,121,0.308571,0.829401,0.894325,0.829401,0.105675,0.86064,0.703857,1.178366,0.781251
216,456,95,54,121,0.308571,0.827586,0.894118,0.827586,0.105882,0.859566,0.702479,1.178093,0.786019
217,455,96,54,121,0.308571,0.825771,0.89391,0.825771,0.10609,0.858491,0.701102,1.177819,0.794094
218,454,97,54,121,0.308571,0.823956,0.893701,0.823956,0.106299,0.857413,0.699725,1.177544,0.802783
219,454,97,53,122,0.302857,0.823956,0.895464,0.823956,0.104536,0.858223,0.698347,1.179867,0.806274
220,454,97,52,123,0.297143,0.823956,0.897233,0.823956,0.102767,0.859035,0.69697,1.182198,0.807519
221,454,97,51,124,0.291429,0.823956,0.89901,0.823956,0.10099,0.859848,0.695592,1.184539,0.815737
222,454,97,50,125,0.285714,0.823956,0.900794,0.823956,0.099206,0.860664,0.694215,1.18689,0.822334
223,453,98,50,125,0.285714,0.822142,0.900596,0.822142,0.099404,0.859583,0.692837,1.18663,0.824547
224,452,99,50,125,0.285714,0.820327,0.900398,0.820327,0.099602,0.8585,0.69146,1.186369,0.844488
225,452,99,49,126,0.28,0.820327,0.902196,0.820327,0.097804,0.859316,0.690083,1.188737,0.845444
226,451,100,49,126,0.28,0.818512,0.902,0.818512,0.098,0.85823,0.688705,1.188479,0.847183
227,450,101,49,126,0.28,0.816697,0.901804,0.816697,0.098196,0.857143,0.687328,1.18822,0.859936
228,450,101,48,127,0.274286,0.816697,0.903614,0.816697,0.096386,0.85796,0.68595,1.190606,0.86499
229,450,101,47,128,0.268571,0.816697,0.905433,0.816697,0.094567,0.858779,0.684573,1.193002,0.87162
230,450,101,46,129,0.262857,0.816697,0.907258,0.816697,0.092742,0.859599,0.683196,1.195407,0.876268
231,449,102,46,129,0.262857,0.814882,0.907071,0.814882,0.092929,0.858509,0.681818,1.19516,0.880207
232,448,103,46,129,0.262857,0.813067,0.906883,0.813067,0.093117,0.857416,0.680441,1.194912,0.885662
233,448,103,45,130,0.257143,0.813067,0.908722,0.813067,0.091278,0.858238,0.679063,1.197336,0.891679
234,447,104,45,130,0.257143,0.811252,0.908537,0.811252,0.091463,0.857143,0.677686,1.197092,0.891736
235,447,104,44,131,0.251429,0.811252,0.910387,0.811252,0.089613,0.857965,0.676309,1.19953,0.891912
236,446,105,44,131,0.251429,0.809437,0.910204,0.809437,0.089796,0.856868,0.674931,1.199289,0.896614
237,445,106,44,131,0.251429,0.807623,0.91002,0.807623,0.08998,0.855769,0.673554,1.199047,0.897381
238,445,106,43,132,0.245714,0.807623,0.911885,0.807623,0.088115,0.856593,0.672176,1.201504,0.903074
239,444,107,43,132,0.245714,0.805808,0.911704,0.805808,0.088296,0.855491,0.670799,1.201266,0.906719
